Name,Description,Average Score,Number of Reviews
Adventure!,"From Introduction:

In the questionably distant future there exists the Land of Ooo, and it is a place of wonder and mystery populated by goblins, wizards, ogres, candy people, and countless other weird and amazing creatures. It is a world renewed after an unknown cataclysm, a world of magic and heraldry built upon the mysterious ruins of our present. This is the land in which Adventure Time takes place.!

This book was created with the idea of helping players and dungeon masters adapt the 4th Edition of Dungeon and Dragons system to create a quickly progressing game set in the Adventure Time universe. Those unfamiliar with D&amp;D 4E would do well to read the Player's Handbook (D&D 4e) to get a much more in-depth idea of how the game works. This handbook will, however, provide you with much of the information and many of the rule changes needed to start and run a successful game.!

Watching Adventure Time isn't required to play this game, although it will explain some of the lore and will allow player and dungeon master alike to interweave fun and exciting tidbits from the show into their games.!",0,0
Adventure!,"From Introduction:

In the questionably distant future there exists the Land of Ooo, and it is a place of wonder and mystery populated by goblins, wizards, ogres, candy people, and countless other weird and amazing creatures. It is a world renewed after an unknown cataclysm, a world of magic and heraldry built upon the mysterious ruins of our present. This is the land in which Adventure Time takes place.!

This book was created with the idea of helping players and dungeon masters adapt the 4th Edition of Dungeon and Dragons system to create a quickly progressing game set in the Adventure Time universe. Those unfamiliar with D&amp;D 4E would do well to read the Player's Handbook (D&D 4e) to get a much more in-depth idea of how the game works. This handbook will, however, provide you with much of the information and many of the rule changes needed to start and run a successful game.!

Watching Adventure Time isn't required to play this game, although it will explain some of the lore and will allow player and dungeon master alike to interweave fun and exciting tidbits from the show into their games.!",0,0
Adventurers Guild,"From the intro: The City of Rhum is a modular supplement for the Legend Quest game. When used together, these modules will form a detailed city where the adventurers can live and adventure.

User summary: A brief overview of the city of Rhum and details 10 buildings therein.",0,0
Adventures in Fantasy,"From the box:

&quot;ADVENTURES IN FANTASY is the next generation of FANTASY ROLE PLAYING GAMES. YOU are the Knight sent upon a Quest by the King to battle villains and creatures right out of Mythology. From Dwarves to Dragons your wits will be just as useful as your sword. This game comes complete with separate CHARTS, 20-Sided DIE, Sample Adventure and complete rules for starting on the road to high Adventure.&quot;",4.5,2
The Adventures of Indiana Jones Role-Playing Game,"From the Back of the Box:

From Brazil to Bangkok, from the Ark of the Covenant to the Temple of Doom, INDIANA JONES and his companions blaze a trail of adventure and mystery!

Now you can be a part of the action too! Whenever you play the part of Indy or one of his trusted friends.

The boxed set includes an introductory adventure by John Byrne: &quot;The Ikons of Ikammanen&quot;.",5.38333,27
Adventures in Middle-earth,"Publisher blurb:

In Adventures in Middle-earth&trade; the greatest fantasy setting of all time comes to the world's favourite roleplaying game rules! Take your gaming group to Middle-earth with this thematic and atmospheric, OGL-compatible setting guide.

Smaug has been defeated, the Battle of Five Armies has been won, and Bilbo has returned to the Shire. But much danger still remains, and from the Orc-holds of the mountains to the dark and corrupt depths of Mirkwood a darkness waits, recovering its strength, laying its plans, and slowly extending its shadow&hellip;

In Dale, King Bard sends out a call for brave adventurers to journey to Laketown and assist him in restoring the glory of the North.

Adventurers come from all the Free Peoples of Wilderland and beyond, all heeding the call to adventure. Spurred on by diverse callings &ndash; whether it be the lure of the road, the hunger for ancient lore, or the simple urge to defend hearth and kin, adventurers from across Wilderland are preparing to explore Middle-earth and to battle the rising threat of The Shadow wherever it may be found.

The Player's Guide gives you the Middle-earth setting-specific rules and guidance to create your characters and adventure in the world of The Hobbit and The Lord of the Rings using the OGL 5e ruleset.

Character creation features Cultures and Classes designed for Middle-earth to help you get deep into the setting from the very start of your adventures. New rules add excitement to your journeys and encounters, and chart the corruption of the Shadow in the unwary or unwise.

The Quest begins with this lavishly illustrated, hardcover Adventures in Middle-earth Player&rsquo;s Guide, followed by the equally beautiful and useful Adventures in Middle-earth Loremaster&rsquo;s Guide. You can start playing right away with this Player&rsquo;s Guide, and the 5th Edition Dungeons and Dragons&reg; rulebooks from Wizards of the Coast&reg;.

Adventures in Middle-earth: Players Guide contains:

     11 Middle-earth specific playable Cultures
     6 New and unique Classes
     13 New Backgrounds custom-made for Middle-earth
     Middle-earth appropriate arms and armour 
     Unique Journey rules 
     New rules for Corruption 
     New Audience rules 
     Rules for The Fellowship Phase 
     Middle-earth maps (as the end papers) for Players and Loremasters",7.90714,42
After the Bomb,Palladium's post-apocalyptic setting book for TMNT.  Followed by a later edition without the TMNT brand.,6.46667,45
Aftermath!,"&quot; &quot;Aftermath! is a role-playing game created by Paul Hume &amp; Robert Charette which was published in 1981 by Fantasy Games Unlimited.

It is set in a post-apocalyptic world in which the characters typically have to fight for food, water, basic supplies and shelter. The rules are reasonably complex and include a few flow charts and tables to enable the Games Master to simulate the world. This leads to a very immersive gaming experience. However, it does require a good knowledge of the rules to play.

The nature of the Apocalypse is up to the Games Master but it is often reminiscent of the Mad Max films. There is even an expansion (Aftermath! Magic!) to play in a universe dominated by dragons in the style of the film Reign of Fire.&quot;

The system is mostly a dice based system that uses a d20 to resolve combat and skill checks and then uses a table for a 'complex' hit location.  This determines additional effects to the character.  Highly realistic many characters will die after just one hit, so watch out.  Once you get into a firefight someone isn't walking away.

&quot;

Source: Wikipedia, &quot;Aftermath!,&quot; available under the CC-BY-SA License.

This is a boxed set which contains the following:

     Basic Rules book with multiple examples and illustrations of play
     Player's Handbook (Survivors of the Aftermath) detailing construction of characters, equipment and life after the ruin
     Referee's Handbook (The World of Aftermath) detailing construction of the environment and running the game
     Introductory Scenario (Survive!) to allow you to start play easily 
     Playaids",6.80556,36
Afterwars,"Role playing in a Post WWIII America.

From the back cover:

&quot;Out of the radioactive cloud thundered the four horsemen of the apocalypse.  War astride his great red horse.  Followed by Pestilence.  Then rode Conquest upon the technohorse, and finally the skeleton of Death.  These four rode all across the world, shaping its future after the bombs fell.  The war was over.  Now only the fighting was left.

&quot;You are a survivor.  Now it is time for you to start putting it all back together again.  You must beat back scavenger gangs and rads.  Then defeat the mutants and others to explore the universe joints.  It's time for you to start carving out a better world.

&quot;The future depends on you&quot;

Also from the back cover:
- A straightforward combat system
- Detailed character generation system.
- Flexible rules.
- Universe Joints.
- A rich background.
- A detailed listing of weapons, vehicles, and equipment.",8,1
Age of the Tempest,"From publisher blurb:

When evil is afoot, you must join the forest-dwelling rebels and protect justice in the land!

Age of the Tempest - Sword of the High King is a fantasy tabletop roleplaying game aimed for kids and beginners. This is the Player's Handbook, which gently takes you to the world of roleplaying and fantasy, and then shows you how you can be a Witch, a Knight, a Swineherd or a Princess. Or one of the other memorable characters in the world of Nathar, all looking for the Sword of the High King...

To play, you also need the Game Master&#039;s Handbook, character sheets and a map, and a set of dice.",0,0
Age of Ruin,The Age of Ruin game line is a post-apocalyptic role-playing game with a dark and sinister aura.,5,1
Agone,"From the back cover:

AGONE, an epic role-playing game in the Twilight Realms

At the dawn of time, the Muses breathed life and magic into Harmundia.  Then the Masque came, a renegade set on putting all mortals under his yoke.  The Eclipse darkened the sky and Twilight descended upon the world.  Since then, the humans and the nine seasonling races have build the Twilight Realms.  Now the enemies are more deceitful and more powerful than ever.  The Masque has returned, and the evil Darken is creeping into the Realms.  Once again, as the Eminences Grise foretold it, war is setting Harmundia ablaze!

Let the Drama begin!

Born in the wake of Agone of Roundrock, the Inspired have already led full lives and believe their hour of glory has come and gone.  But fate has decided otherwise, for they carry the Flames of the Muses.  As an Eminence Grise, the time has come for you to bring those inspired by the flame - lords, merchants, highwaymen and magicians - together to fight the enemy.

You are the last hope!

Discover a dark and baroque Heroic Fantasy world where weapons clash and spells thunder.  In this setting of intrigues and marvels, be a baron respected by his subjects, a magical minstrel admired by all, an elusive acrobat assassin, or a Machiavellian spy.  Learn to master the four Magical Arts and the Ascendancy, the magic of the Dancers.  Play the part of a brawny ogre, a mysterious black fey, a hunting sprite, a plotting medusa, a wandering spriggan, a sturdy dwarf, a minotaur or an awe-inspiring giant!

Will you be able to protect your flame at all costs?",7.02941,17
Albedo,"&quot;Albedo is a role-playing game based on Steve Gallacci's &quot;Erma Felna: EDF&quot; and &quot;Birthright&quot; storylines, from the funny animal comic anthologies 'Albedo' and 'Critters'.

Written by Craig Hilton and Paul Kidd, it was originally published as a box set in 1988 by Thoughts &amp; Images and consisted of 3 books: Player's Manual, Equipment Description, and Referee's Manual; plus the Tlakatan Scenario (sample scenario) booklet.&quot;

Source: Wikipedia, &quot;Albedo (role-playing game),&quot; available under the CC-BY-SA License.",6.6,5
Alice is Missing,"From the kickstarter:

Alice is Missing, a silent role-playing game about the disappearance of Alice Briarwood, a high school junior in the small town of Silent Falls.
...
The game is played live and without verbal communication. Players inhabit their character for the entirety of the 90-minute play session, and instead of speaking, send text messages back and forth to the other characters in a group chat, as well as individually, as though they aren&rsquo;t in the same place together.

Publisher's blurb:

The game is played live and without verbal communication. Players inhabit their character for the entirety of the 90-minute play session, and instead of speaking, send text messages back and forth to the other characters in a group chat, as well as individually, as though they aren&rsquo;t in the same place together.

Haunting beautiful, deeply personal, and highly innovative Alice is Missing puts a strong focus on the emotional engagement between players, immersing them in a tense, dramatic mystery that unfolds organically through the text messages they send to one another. Right at home with games like Life Is Strange, Gone Home, Oxenfree, and Firewatch, it&rsquo;s designed to feel as much like an event-style experience as it does a role-playing game.",7.63821,280
ALIEN: The Roleplaying Game,"From the back cover:

&ldquo;I can&rsquo;t lie to you about your chances, but &hellip; you have my sympathies.&rdquo;

Space is vast, dark, and not your friend. Gamma rays and neutrino bursts erupt from dying stars to cook you alive, black holes tear you apart, and the void itself boils your blood and seizes your brain. Try to scream and no one can hear you&mdash;hold your breath and you rupture your lungs. Space isn&rsquo;t as empty as you&rsquo;d think, either&mdash;its frontiers are ever expanding. Rival governments wage a cold war of aggression while greedy corporations vie for valuable resources. Colonists reach for the stars and gamble with their lives&mdash;each new world tamed is either feast or famine. And there are things lurking in the shadows of every asteroid&mdash;things strange and different and deadly.

Things alien.

This is the official ALIEN tabletop roleplaying game&mdash;a universe of body horror and corporate brinkmanship, where synthetic people play god while space truckers and marines play host to newborn ghoulish creatures. It&rsquo;s a harsh and unforgiving universe and you are nothing if not expendable.

Stay alive if you can.

This beautifully illustrated, full-color hardcover book presents the world of ALIEN in the year 2183 and provides a fast and effective ruleset designed specifically to enhance the ALIEN experience. The game supports two distinct game modes:

     Cinematic play is based on pre-made scenarios that emulate the dramatic arc of an ALIEN film. Designed to be played in a single session, this game mode emphasizes high stakes and fast and brutal play. You are not all expected to survive. The core rulebook contains one introductory Cinematic scenario, Hope&rsquo;s Last Day.
     Campaign play is designed for longer continuous play with the same cast of player characters over many game sessions, letting you explore the ALIEN universe freely, sandbox style. The core rulebook contains random tables and other powerful tools to quickly create star systems, colonies, missions, encounters, and NPCs for your campaign.


The rules of the game are based on the acclaimed Year Zero Engine, used in award-winning games such as Tales from the Loop, Forbidden Lands and Mutant: Year Zero, but adapted and further developed to fully support the core themes of ALIEN: horror and action in the cold darkness of space.",8.24778,135
Aliens Adventure Game,"From the back of the book:Now you can be a part of the danger and excitement of the hit movie ALIENS, from Twentieth Century Fox! From the ruins of the Colony that was destroyed by the Aliens to the chaos and greed of earth itself, the ALIENS Adventure Game pits you against Aliens, other dangerous lifeforms, and corrupt Humans as you find out what it takes to be a member of the Colonial Marine Corps.

Another Glorious Day in the Corps!

The accent of the game is on the Aliens, of course, but there is far, far more. For those who want to go beyond the Aliens and the Corps, there is a whole galaxy of deceit and danger in the bleak Corporate future of the ALIENS storyline. Try your hand at one of the other possibilities offered: corporate mercenary, explorer, businessman&hellip; your choices are limited only by your imagination.

The ALIENS Adventure Game prominently features full color and black and white art from the movie, as well as fast, fun game mechanics. Fast paced and intense, ALIENS is sure to thrill anyone who enjoyed the movie.

Included are Sections covering:

    Character Generation
    Colonial Marine Background
    Other Character Backgrounds
    General and Professional Skills
    Specialized Skills and Training
    Personal Equipment
    Individual Combat
    Ground, Air, and Spave Vehicles and Combat
    Worlds, Colonies, and Outposts
    Missions and Campaign Settings
    Alien Lifeforms and, of course,
    The ALIENS - Abilities, Metabolism, and Scenario Ideas.",6.48387,31
All Flesh Must Be Eaten,"From the back of the Book


As they approach your home, the evening wind carries their stench through the air.  Your dog barks wildly, frenzied by the smell.  You awaken from a restless sleep, look out your window, and see staggering corpses on the move.

You are halfway down the stairs when you hear footsteps on the porch.  You run into the living room and pry open your gun cabinet.  As you fumble, the front door collapses from the weight of a pair of rotting corpses.

They shamble into the hall, arms outstretched, reaching for you.  You unload your shotgun into them.  They fall back.

To your horror, they rise...

Welcome to the world of Survival Horror

All Flesh must be eaten is a complete roleplaying game.  In it, you will find:


     Eleven different Deadworld settings allowing customization of the storyline.
     A comprehensive zombie creation systems to surprise and alarm your players.
     A list of equipment crucial for surviving a world of shambling horrors.
     Detailed character creation rules for Norms, Survivors, and the Inspired.
     A full exposition of the Unisystem game rules, suitable for any game in any time period.
     Open Gaming License conversion text for porting AFMBE to any modern-day campaign featuring a twenty-sided dice game mechanic.",7.04823,141
All-Star Wrestling,"From the back of the book:

Welcome to All-Star Wrestling, the role-playing game that takes you into the world of professional wrestling, where every match is a main event.  Here body slams, suplexes, and headlocks determine how tough you are, and if you've got the intestinal fortitude to go after the ultimate prize... The World Heavyweight Championship!

To play All-Star Wrestling you will need 6-sided dice, 10-sided dice, paper, pencil, and this rulebook, along with the courage, stamina and skill to be one of us - the best.

So get ready to play the greatest wrestling you'll ever find!",9,1
Alma Mater,"From the back cover:

Alma Mater is a role-playing game in which players may choose to be either a Jock, Cheerleader, Tough, Brain, Criminal, Average, or Loser.  Their challenge is to successfully live as a teenager through four years of modern day American high school.  However, play is not restricted to school.  The game rules cover nearly every aspect of teenage life, including sports, social situations, fights, and hot rods.

In Alma Mater, you can act out your wildest fantasies and do anything that you would normally consider exceptionally foolish, suicidal, or down-right crazy.

This 48-page rule booklet, illustrated by Erol Otus and Owen Oulton, contains a description of the high school, &quot;Central High&quot; including NPC teacher and student descriptions; and a sample scenario, &quot;Starr's Party&quot;.  Maps for the school and Starr's home are provided along with a 17x22&quot; color poster of the cover painted by Erol Otus.

Six-sided and twenty-sided dice are required for play, and must be bought separately.

WARNING:
This game deals with mature subject matter and is not suitable for children under 14 years of age.",7.125,8
Alshard,"User summary:

This apocryphal item is a fan-made, unauthorized, English-language translation of the Japanese-language original.  The material is sufficient to play the game but does not include many setting details.",0,0
Alshard,"User summary:

This apocryphal item is a fan-made, unauthorized, English-language translation of the Japanese-language original.  The material is sufficient to play the game but does not include many setting details.",0,0
Alternity,"You're an explorer commanding the newest starship in the fleet, or . . . a brilliant scientist seeking a cure for a deadly alien virus, or . . . a battle-weary space marine fighting to protect the galaxy, or . . . any other SF hero you can imagine!

Experience the future - one adventure at a time!

This roleplaying game provides a framework for all kinds of contemporary to far-future science fiction adventures. The Player's Handbook, the companion volume to the Alternity Gamemaster Guide, contains everything players need to create SF heroes and play the Alternity game, including:


     An easy-to-learn game system designed around a unique dice mechanic.
     A &quot;Fast-Play&quot; chapter that teaches the basics and quickly gets you into the action.
     Rules for generating a wide variety of unique heroes - including five alien hero species.
     Many distinct character professions and careers that allow you to further refine and define your character - from bounty hunters to computer hackers, starship pilots to interplanetary traders.
     Simple yet wide-ranging rules presented in a format that lets you add levels of complexity as desired.
     Optional rules for mutants, psionics, and cybernetics.
     Plenty of equipment covering a variety of technological levels - computers, vehicles, starships, armor, weapons, and assorted gear.
     A compilation of tables and forms that players need, plus a comprehensive index.",7.02113,71
Amazing Engine,"[From the back cover.]

For Faerie, Queen, and Country is the first fantasy Universe Book created for the Amazing Engine game system. The setting: Victorian England, 187-. The Tuatha de Danann are represented in Parliament. America is a British penal colony. And your character? She could be a governess to a family in Bloomsbury, skilled in herbal lore and fairy lore because she was raised in Ireland. He could be a consulting detective, half-faerie himself, with training in phrenology. Or, your character might be a full-blooded Tuatha de Danann, bent on wreaking mischief throughout London!

Step into the universe of For Faerie, Queen, and Country. And don't forget the bit of cold iron for your pocket!",5.69231,13
Amber Diceless Roleplaying,,,
Anima: Beyond Fantasy,"Welcome to the limitless stories and exciting games of Anima! Designed by a collaboration of Japanese and European writers, game designers, and artists, the Anima: Beyond Fantasy Roleplaying Game is a fusion of Eastern and Western myth, art, and belief. Anything is possible when you go Beyond Fantasy!

The Anima RPG features 320 pages of gorgeously-illustrated, full color rules, character sheets, and background information. It includes everything necessary for players and GMs to begin playing in the world of Anima straight away - just add pencils, paper, dice, and imagination!",6.86512,43
Angel,"From the back of the core book:

&quot;How can one person stand up for the helpless while warding off the apocalypse / Inside this gorgeous tome, we'll show you how.

Here you will find:


     An introduction to roleplaying and the Angelverse.
     A guide to character creation, including pre-constructed Champions and Investigators, as well as the entire Angel Investigations Cast, for your quick-play pleasure.
     The Angel Unisystem, streamlined for cinematic action and adventure but detailed enough for the hard-core.
     A rundown on not-so-normal abilities, from magic and psychic arts to demon abilities and supernatural powers.
     Rules for creating special organizations-from law firms to detective agencies to hunter societies and more.
     A guide to the people and places of the City of Angel.
     An overview on the wicked, including vampires, demons, zombie cops, and other malicious miscreants.
     Blow-by-blow instructions for creating Angel roleplaying Episodes, Seasons and Series.
     A complete Episode to start the investigating right away.&quot;",7.31579,38
Apocalypse Keys,"APOCALYPSE KEYS is a tabletop roleplaying game about monsters holding back the apocalypse. They are agents who work for the DIVISION, a mysterious organization dedicated to understanding the occult, taming the supernatural, and protecting the world. A world that is built for the mundane and for humans. A world that tries to pretend that monsters are not real.

APOCALYPSE KEYS is mainly inspired by Hellboy, the films and comics, as well as the spin off comic series B.P.R.D. that focuses on the other monstrous agents. But this game also leans into the other stories and genres that focus on investigating the strange and weird.

(from the Itch.io product page)",7.25,4
Apocalypse World,"From the Introduction:

Nobody remembers how or why. Maybe nobody ever knew. The oldest living survivors have childhood memories of it: cities burning, society in chaos then collapse, families set to panicked flight, the weird nights when the smoldering sky made midnight into a blood-colored half-day.

Now the world is not what it was. Look around you: evidently, certainly, not what it was. But also close your eyes, open your brain: something is wrong. At the limits of perception, something howling, everpresent, full of hate and terror. From this, the world's psychic maelstrom, we none of us have shelter.",8.07522,222
Arcana Unearthed,"A Variant Player's Handbook

The 3rd Edition of the world's most popular roleplaying game has thrilled hundreds of thousands.  But surely there's more to fantasy than the traditional elves, dwarves, fighters, and wizards.  What if there were a whole new player's handbook, presented just like the original, but with different character classes, races, skills, feats and spells?",6.86429,35
Archaeron,"MAGE is a a module of the Archaeron Games System designed to be used with most existing role-playing games as well as with the Archaeron games System itself. Other fantasy role playing rules can be used in conjunction with MAGE simply by converting the spell levels of those rules to MAGE Magic Levels or EL. The Endurance (EN) of a persona or character can be expressed in terms of 'hit points', 'fatigue points', etc. simply by dividing the total of 'hit points' by EN to yield the points fer EN level shich are lost. MAGE can also be used by players as a game in its own right as a contest between MAGICIANS.

Source: Book introduction",0,0
Arduin,"From the back cover:

&quot;ARDUIN enters its fourth generation!

Launching forward is an enhanced game for the new millennium that retains all the qualities of its predecessors in a single volume!

Plumb the depths of the rich world of Arduin. Engage as the emotionless insectoid Phraint. Gamble in the free wheeling city of Talismond&eacute;. Dash through battle with a hot-blooded Amazon. Fear deadly Deodanths, time-stranded from the future. Sally forth the Khai Shang, stranded on Khaas from the stars. Make your mark as a mercenary captain from the border wars in the West. Trust in the 10,000 gods - take up their banner as a Priest, Paladin, Saint or Witch Hunter. Learn Eldarin, the language of the ancient Kthoi, weaving enigmatic runes. Journey to the city of Melkalund to learn at the underground college of technology. Dare life as a street tough, fluent in the unarmed fighting arts of Rhingorda. Take on the world as a Techno, master of technology and engineering. Hound and hunt the wicked with the iron will of a Witch Hunter. Wield the wild magik, mastered by the great mages of Ghorfar. Spill blood as a gladiator fresh from the 100 battles in Ithalos. Conquer the fighting pits of Viruelandia.

Contained within is EVERYTHING you'll need to play over 20 races, with nearly 30 professions and paths which make the combinations ... Endless!

It's all there; inspiration, blood, guts, glory, and battles! All the feats of derring-do and bare-assed wickedness that made Arduin an infamous legend.&quot;",8.83333,6
Aria,"Aria: Canticle of the Monomyth was a role-playing game published by Last Unicorn Games in 1994. Unlike many other role-playing games which centered on individual characters in a pre-set game world, Aria was intended to facilitate the creation of gameworlds, complete with cultures, histories, and politics. Players play not a single character, but a series of characters across the history of the game world, in essence playing the role of a given guild, city or culture, and telling a larger, grander story than would be accomplished with individual characters.&quot;&quot;

Source: Wikipedia, &quot;Aria:_Canticle_of_the_Monomyth,&quot; available under the CC-BY-SA License.",4.52941,17
Arianrhod RPG,"&quot; &quot;Arianrhod RPG is a Japanese fantasy role-playing game released in 2004. It has spread rapidly because the rulebook is an inexpensive paperback.

The game's flavor is similar to that of MMORPGs: for example, guild skills shared by the party, skills similar to Final Fantasy XI's combos, and manga-like illustrations. At present, Arianrhod RPG is as popular as Sword World 2.0, Alshard and Dungeons and Dragons version 3.5 in Japan.

The basic setting's world, named Erindyll continent, is an orthodox fantasy world. In 2008, the new series Arianrhod Saga began and the new setting of another continent named Aldion is provided for a campaign setting suitable for war chronicle stories.

Arianrhod RPG is known for several seiyū (a Japanese voice actor in radio, television, &amp; movies) such as Noriko Rikimaru, Ema Kogure, Megumi Kojima and Miyu Ohtake were playing in the official game sessions. These session logs are commercially-published as replays.

Arianrhod RPG used a dual-class system. You can choose from 4 base classes (Warrior, Acolyte, Mage, Thief) for the main class, the definer of your core abilities. You also choose from 4 base classes plus Alchemist, Bard, Dancer, Gunslinger, Monk, Ninja, Ranger, Sage, Samurai, Summoner and regional classes (Gladiator, Healer, Shaman, Viking) and additional classes in Aldion continent (Forecaster and Preacher) for the support class. Moreover, 10 advanced classes for high-level characters are present.&quot;&quot;

Source: Wikipedia, &quot;Arianrhod_RPG,&quot; available under the CC-BY-SA License.",0,0
Armageddon: 2089,"Publisher's description:

&quot;Armageddon 2089: Total War is a 304 page hardback RPG concentrating on mek-based warfare and the mercenary/corporate companies who use them. Using the d20 System to its fullest, this is the most detailed game of its type to date, and no expense has been spared in ensuring that it is also one of the best looking games available. This is by far the most ambitious project Mongoose Publishing has produced to date and many hundreds of man-hours have gone into the production of this game. The level of detail available to players is incredible. Warfare has never looked so good...&quot;",3.5,2
